,Drug Original Name,Concentration
0,MERCAPTOPURINA ,50 MG TAB
1,MERCAPTOPURINA ,50 MG TAB
2,MERCAPTOPURINA ,50 MG TAB
3,MERCAPTOPURINA ,50 MG TAB
4,MERCAPTOPURINA ,50 MG TAB
5,MERCAPTOPURINA ,50 MG TAB
6,MERCAPTOPURINA ,50 MG TAB
7,MERCAPTOPURINA ,50 MG TAB
8,MERCAPTOPURINA ,50 MG TAB
9,MERCAPTOPURINA ,50 MG TAB
10,MERCAPTOPURINA ,50 MG TAB
11,MERCAPTOPURINA ,50 MG TAB
12,MERCAPTOPURINA ,50 MG TAB
13,MERCAPTOPURINA ,50 MG TAB
14,MERCAPTOPURINA ,50 MG TAB
15,MERCAPTOPURINA ,50 MG TAB
16,TAMOXIFENO CITRATE ,20 MG TAB
17,TAMOXIFENO CITRATE ,20 MG TAB
18,TAMOXIFENO CITRATE ,20 MG TAB
19,TAMOXIFENO CITRATE ,20 MG TAB
20,TAMOXIFENO CITRATE ,20 MG TAB
21,TAMOXIFENO CITRATE ,20 MG TAB
22,TAMOXIFENO CITRATE ,20 MG TAB
23,TAMOXIFENO CITRATE ,20 MG TAB
24,TAMOXIFENO CITRATE ,20 MG TAB
25,TAMOXIFENO CITRATE ,20 MG TAB
26,TAMOXIFENO CITRATE ,20 MG TAB
27,TAMOXIFENO CITRATE ,20 MG TAB
28,TAMOXIFENO CITRATE ,20 MG TAB
29,TAMOXIFENO CITRATE ,20 MG TAB
30,TAMOXIFENO CITRATE ,20 MG TAB
31,TAMOXIFENO CITRATE ,20 MG TAB
32,TAMOXIFENO CITRATE ,20 MG TAB
33,TAMOXIFENO CITRATE ,20 MG TAB
34,TAMOXIFENO CITRATE ,20 MG TAB
35,TAMOXIFENO CITRATE ,20 MG TAB
36,TAMOXIFENO CITRATE ,20 MG TAB
37,TAMOXIFENO CITRATE ,20 MG TAB
38,TAMOXIFENO CITRATE ,20 MG TAB
39,TAMOXIFENO CITRATE ,20 MG TAB
40,TAMOXIFENO CITRATE ,20 MG TAB
41,TAMOXIFENO CITRATE ,20 MG TAB
42,TAMOXIFENO CITRATE ,20 MG TAB
43,TAMOXIFENO CITRATE ,20 MG TAB
44,TAMOXIFENO CITRATE ,20 MG TAB
